Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
"Martin Garrix, Khalid",Ocean,88,78,3,2018-07-28
"David Lee Murphy, Kenny Chesney",Everything's Gonna Be Alright,89,66,13,2018-07-28
G,1942,90,,,2018-07-28
Cole Swindell,Break Up In The End,91,91,2,2018-07-28
Bebe Rexha,I'm A Mess,92,,,2018-07-28
Migos,Narcos,93,36,10,2018-07-28
"Kygo, Miguel",Remind Me To Forget,94,,,2018-07-28
The Weeknd,Call Out My Name,95,4,16,2018-07-28
"A$AP Rocky, Skepta",Praise The Lord,96,45,6,2018-07-28
Bad Wolves,Zombie,97,54,18,2018-07-28
Drake,8 Out Of 10,98,21,3,2018-07-28
Future,31 Days,99,65,2,2018-07-28
"Drake, JAY",Talk Up,100,20,3,2018-07-28
Drake,In My Feelings,1,1,2,2018-07-21
"Maroon 5, Cardi B",Girls Like You,3,3,7,2018-07-21
Drake,Nice For What,4,1,14,2018-07-21
Ella Mai,Boo'd Up,5,5,15,2018-07-21
Drake,God's Plan,6,1,25,2018-07-21
Juice WRLD,Lucid Dreams,7,3,9,2018-07-21
Ariana Grande,No Tears Left To Cry,8,3,12,2018-07-21
"Post Malone, Ty Dolla $ign",Psycho,9,1,20,2018-07-21
XXXTENTACION,Sad!,10,1,19,2018-07-21
Drake,Nonstop,11,2,2,2018-07-21
Post Malone,Better Now,12,7,11,2018-07-21
"Zedd, Maren Morris, Grey",The Middle,13,5,24,2018-07-21
"Bebe Rexha, Florida Georgia Line",Meant To Be,14,2,38,2018-07-21
Taylor Swift,Delicate,15,15,18,2018-07-21
Drake,I'm Upset,16,7,7,2018-07-21
"Lil Baby, Drake",Yes Indeed,17,6,9,2018-07-21
"Tyga, Offset",Taste,18,18,7,2018-07-21
Bazzi,Mine,19,11,25,2018-07-21
"Marshmello, Anne",Friends,20,11,22,2018-07-21
"Drake, Michael Jackson",Don't Matter To Me,21,9,2,2018-07-21
Ed Sheeran,Perfect,22,1,46,2018-07-21
Shawn Mendes,In My Blood,23,11,17,2018-07-21
Dan + Shay,Tequila,24,21,18,2018-07-21
"Khalid, Normani",Love Lies,25,25,21,2018-07-21
Camila Cabello,Never Be The Same,26,6,30,2018-07-21
Imagine Dragons,Whatever It Takes,27,12,24,2018-07-21
Drake,Mob Ties,28,13,2,2018-07-21
"Calvin Harris, Dua Lipa",One Kiss,29,29,14,2018-07-21
The Carters,Apes**t,30,13,4,2018-07-21
Selena Gomez,Back To You,31,22,9,2018-07-21
"BlocBoy JB, Drake",Look Alive,32,5,22,2018-07-21
Lauv,I Like Me Better,33,33,22,2018-07-21
XXXTENTACION,Moonlight,34,13,13,2018-07-21
Kenny Chesney,Get Along,35,35,14,2018-07-21
Cardi B,Be Careful,36,11,15,2018-07-21
Florida Georgia Line,Simple,37,37,6,2018-07-21
Drake,Emotionless,38,8,2,2018-07-21
Childish Gambino,This Is America,39,1,10,2018-07-21
5 Seconds Of Summer,Youngblood,40,40,6,2018-07-21
Brett Young,Mercy,41,41,10,2018-07-21
Foster The People,Sit Next To Me,42,42,17,2018-07-21
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,43,36,12,2018-07-21
Drake,Elevate,44,14,2,2018-07-21
Drake,Can't Take A Joke,45,18,2,2018-07-21
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,46,46,6,2018-07-21
XXXTENTACION,Changes,47,18,13,2018-07-21
"Nicki Minaj, Ariana Grande",Bed,48,43,4,2018-07-21
Luke Combs,One Number Away,49,34,17,2018-07-21
Jake Owen,I Was Jack,50,50,7,2018-07-21
"Nicky Jam, J Balvin",X,51,41,19,2018-07-21
"Jason Aldean, Miranda Lambert",Drowns The Whiskey,52,52,4,2018-07-21
Future,Wifi Lit,53,,,2018-07-21
"Morgan Wallen, Florida Georgia Line",Up Down,54,49,16,2018-07-21
Drake,Blue Tint,55,30,2,2018-07-21
"Drake, Static Major, Ty Dolla $ign",After Dark,56,41,2,2018-07-21
Juice WRLD,All Girls Are The Same,57,41,9,2018-07-21
"Drake, JAY",Talk Up,58,20,2,2018-07-21
Drake,8 Out Of 10,59,21,2,2018-07-21
twenty one pilots,Jumpsuit,60,,,2018-07-21
Thomas Rhett,Life Changes,61,61,3,2018-07-21
XXXTENTACION,Jocelyn Flores,62,19,20,2018-07-21
Drake,Sandra's Rose,63,27,2,2018-07-21
Drake,Summer Games,64,28,2,2018-07-21
